Row_Num,S.no,Star_name,Distance,Mass,Radius,Gravity
29,29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.90261668221936
30,30,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.0032891161568
31,31,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999,264.0220043614983
32,32,2MASS J03284265+2302051 [de],98.0,0.051547752,0.1007077399999999,1393.7854665897514
33,33,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,1673.0561040268533
34,34,LP 944-20,20.9,0.069684924,0.1469510899999999,884.9222368406508
35,35,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1663.8242310631865
36,36,Teide 1,380.0,0.05250234,0.3884441399999999,95.41868191991503
37,37,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,1567.6425869150494
38,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.53549852753014
39,39,2MASS J04151954−0935066,18.6,0.02863764,0.0976248499999999,824.0021927441045
40,40,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.1344251641056
41,41,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999,1561.3966132349747
42,42,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999,249.10731341622287
43,43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999,1264.5968395392563
44,44,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,172.12224400258992
45,45,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1586.478888429979
46,46,2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999,0.004973048213153387
47,47,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1586.478888429979
48,48,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.34771333022877
49,49,2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999,1238.2510720488551
50,50,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.4201734701037
51,51,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.3180967893575
52,52,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,349.1195179760157
53,53,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,413.12742423810363
54,54,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999,1416.3544815592636
55,55,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.1198768014258
56,56,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,1686.3083422937702
57,57,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.3345739313095
58,58,UGPS J072227.51-054031.2,13.4,0.024819288,0.1007077399999999,671.0818913209914
59,59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.0965972199999999,1150.2241261888378
60,60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999,1038.0071382679757
61,61,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.0965972199999999,1206.3326201492691
62,62,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1658.9688159600412
63,63,2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010775379020275526
64,64,DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999,1234.3868671294847
65,65,2MASS J08251968+2115521 [de],35.0,0.049638576,0.1007077399999999,1342.1637826419828
66,66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.1017353699999999,1214.0181270507974
67,67,LHS 2021,55.0,0.084003744,0.1181774499999999,1649.4582015812664
68,68,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999,1237.2848318783088
69,69,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,1536.9014231665426
70,70,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1586.478888429979
71,71,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,1667.1608111121657
72,72,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999,1290.542098694214
73,73,2MASSI J0937347+293142,20.0,0.040092696,0.0965972199999999,1178.2783731690538
74,74,2MASS 0939−2448,17.4,0.030546816,0.0976248499999999,878.935672260378
75,75,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1317.9773209138507
76,76,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999,1234.3868671294847
77,77,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999,1316.3529406680987
78,78,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.65096376258657
79,79,2MASSW J1036530-344138 [de],53.0,0.046774812,0.0996801099999999,1290.9426070296574
80,80,2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999,1178.2783731690538
81,81,DEN 1048-3956,13.15,0.073503276,0.10995641,1667.1608111121657
82,82,Luhman 16B,6.516,0.041047284,0.10481826,1024.524705078712
83,83,Luhman 16A,6.516,0.03818352,0.10379063,972.0118667471197
84,84,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1586.478888429979
85,85,TWA 28,180.0,0.034365168,0.24560357,156.22877308553126
86,86,Cha 110913-773444,163.0,0.007636704,0.1849733999999999,61.206747238810976
87,87,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.09533928555263
88,88,2MASS J11145133−2618235,18.2,0.031501404,0.0986524799999999,887.6173793909608
